Customer ID,Year,Order Date,Source City,Destination City,Distance,Planned Delivery Date,Actual Delivery Date,Shipment Delay,Price Charged,Cost,Profit
1,Post Covid,29/05/22,Tarbha,Karimganj,183,30/05/22,30/05/22,0,100,60,40
2,Post Covid,21/04/22,Talegaon Dabhade,Panna,1279,24/04/22,24/04/22,0,350,203,147
3,Covid,05/12/20,Sircilla,Sherghati,1357,08/12/20,09/12/20,1,350,262.5,87.5
4,Covid,17/03/21,Raxaul Bazar,Paradip,2331,22/03/21,24/03/21,2,500,380,120
5,Post Covid,11/08/22,Sathyamangalam,Talaja,688,13/08/22,13/08/22,0,200,108,92
6,Post Covid,08/01/22,Naugawan Sadat,Wara Seoni,543,10/01/22,10/01/22,0,200,114,86
7,Covid,11/04/21,Ranchi,Rasipuram,1108,14/04/21,15/04/21,1,350,294,56
8,Covid,13/05/21,Shahganj,Jhargram,2404,18/05/21,20/05/21,2,500,420,80
9,Post Covid,28/10/22,Parli,Nakodar,523,30/10/22,30/10/22,0,200,106,94
10,Post Covid,12/01/22,Mandideep,Qadian,1414,15/01/22,15/01/22,0,350,203,147
11,Covid,21/09/20,Mapusa,Soro,2491,26/09/20,28/09/20,2,500,410,90
12,Covid,10/04/21,Sasvad,Ramachandrapuram,2150,15/04/21,17/04/21,2,500,395,105
13,Post Covid,08/02/22,Mahe,Vapi,1412,11/02/22,11/02/22,0,350,199.5,150.5
14,Post Covid,19/02/22,Pali,Yavatmal,943,21/02/22,21/02/22,0,350,196,154
15,Covid,29/11/21,Rafiganj,Mhow Cantonment,2411,04/12/21,06/12/21,2,500,425,75
16,Post Covid,27/11/22,Nasirabad,Raipur,2105,02/12/22,01/12/22,-1,500,280,220
17,Covid,14/05/20,Sherghati,Malaj Khand,236,15/05/20,15/05/20,0,100,81,19
18,Covid,31/10/20,Anakapalle,Tirupati,1325,03/11/20,04/11/20,1,350,273,77
19,Covid,20/05/21,Lachhmangarh,Parbhani,624,22/05/21,22/05/21,0,200,166,34
20,Post Covid,27/05/22,Panchla,Ladnu,1385,30/05/22,30/05/22,0,350,206.5,143.5
21,Covid,11/11/21,Nagina,Nadiad,1524,15/11/21,16/11/21,1,500,400,100
22,Covid,17/10/21,Musabani,Haldwani-cum-Kathgodam,842,19/10/21,19/10/21,0,350,297.5,52.5
23,Covid,24/11/21,Nagari,Mattannur,958,26/11/21,26/11/21,0,350,294,56
24,Covid,02/02/21,Sidhpur,Port Blair,2326,07/02/21,09/02/21,2,500,415,85
25,Covid,26/05/21,Sendhwa,Vijapur,1000,28/05/21,28/05/21,0,350,276.5,73.5
26,Covid,17/04/21,Warhapur,Nagpur,732,19/04/21,19/04/21,0,200,152,48
27,Covid,01/10/21,Hapur,Chilakaluripet,978,03/10/21,03/10/21,0,350,283.5,66.5
28,Covid,13/08/21,Nanjangud,Maihar,2260,18/08/21,20/08/21,2,500,385,115
29,Post Covid,19/03/22,Narkatiaganj,Raghogarh-Vijaypur,252,20/03/22,20/03/22,0,200,110,90
30,Post Covid,21/04/22,Vaijapur,Umreth,1635,25/04/22,24/04/22,-1,500,270,230
31,Post Covid,09/01/22,Markapur,Mundargi,2470,14/01/22,13/01/22,-1,500,300,200
32,Covid,30/12/21,Palwal,Neemuch,1888,03/01/22,05/01/22,2,500,390,110
33,Post Covid,14/04/22,Raisinghnagar,Visnagar,2130,19/04/22,18/04/22,-1,500,290,210
34,Covid,30/07/21,Bokaro Steel City,Tirupati,1894,03/08/21,05/08/21,2,500,380,120
35,Covid,18/06/21,Gokak,Bhiwandi,573,20/06/21,20/06/21,0,200,164,36
36,Post Covid,06/03/22,Vizianagaram,Mansa,2103,11/03/22,10/03/22,-1,500,265,235
37,Covid,07/07/20,Umbergaon,Masaurhi,459,08/07/20,08/07/20,0,200,160,40
38,Post Covid,14/04/22,Chittur-Thathamangalam,Mahe,2464,19/04/22,18/04/22,-1,500,265,235
39,Post Covid,15/05/22,Radhanpur,Macherla,2362,20/05/22,19/05/22,-1,500,260,240
40,Covid,25/01/21,Thrissur,Naugawan Sadat,2410,30/01/21,01/02/21,2,500,385,115
41,Covid,18/04/20,Sircilla,Purulia,461,19/04/20,19/04/20,0,200,168,32
42,Post Covid,13/01/22,Ramachandrapuram,Pilibhit,135,14/01/22,14/01/22,0,100,54,46
43,Covid,25/06/20,Uthiramerur,Nimbahera,2162,30/06/20,02/07/20,2,500,400,100
44,Post Covid,07/12/22,Purna,Savarkundla,1008,10/12/22,10/12/22,0,350,182,168
45,Covid,15/12/20,Rairangpur,Udhampur,1628,19/12/20,20/12/20,1,500,380,120
46,Covid,13/07/20,Tiruvannamalai,Sandila,1771,17/07/20,19/07/20,2,500,390,110
47,Post Covid,07/11/22,Thanjavur,Mansa,2333,12/11/22,11/11/22,-1,500,265,235
48,Post Covid,15/04/22,Pune,Mahe,395,16/04/22,16/04/22,0,200,100,100
49,Covid,25/04/20,Tulsipur,Sausar,1309,28/04/20,29/04/20,1,350,266,84
50,Post Covid,03/01/22,Dhule,Pen,1793,07/01/22,06/01/22,-1,500,250,250
51,Post Covid,18/04/22,Tarakeswar,Malegaon,887,20/04/22,20/04/22,0,350,175,175
52,Post Covid,25/10/22,Nainital,Karjat,223,26/10/22,26/10/22,0,100,50,50
53,Covid,09/09/21,Achalpur,Losal,2488,14/09/21,16/09/21,2,500,380,120
